Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1961","1961","1000 ha","1442","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1962","1962","1000 ha","1462","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1963","1963","1000 ha","1482","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1964","1964","1000 ha","1502","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1965","1965","1000 ha","1522","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1966","1966","1000 ha","1552","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1967","1967","1000 ha","1592","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1968","1968","1000 ha","1622","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1969","1969","1000 ha","1707","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1970","1970","1000 ha","1727","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1971","1971","1000 ha","1777","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1972","1972","1000 ha","1807","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1973","1973","1000 ha","1827","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1974","1974","1000 ha","1857","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1975","1975","1000 ha","1897","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1976","1976","1000 ha","1927","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1977","1977","1000 ha","1957","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1978","1978","1000 ha","1977","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1979","1979","1000 ha","1997","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1980","1980","1000 ha","2027","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1981","1981","1000 ha","2057","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1982","1982","1000 ha","2090","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1983","1983","1000 ha","2100","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1984","1984","1000 ha","2110","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1985","1985","1000 ha","2130","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1986","1986","1000 ha","2190","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1987","1987","1000 ha","2200","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1988","1988","1000 ha","2210","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1989","1989","1000 ha","2220","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1990","1990","1000 ha","2270","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","1990","1990","1000 ha","4170.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1991","1991","1000 ha","2280","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","1991","1991","1000 ha","4230.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1992","1992","1000 ha","2295","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","1992","1992","1000 ha","4285.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1993","1993","1000 ha","2320","I","Valeur imputée",""
